开始时间,结束时间,任务分类,任务详情
23:53:40,23:55:49,开发,使用Microsoft Edge浏览器访问本地运行的CVRP POMO Solver页面，可能在调试或查看结果。
23:55:49,23:56:20,系统,在文件资源管理器中浏览与人工智能作业相关的文件夹，特别是CVRP相关的内容。
23:56:20,23:59:43,开发,在Cursor编辑器中编写或调试PK_Solver.py文件，处理CVRP问题。
23:59:43,00:00:17,开发,再次使用Microsoft Edge浏览器访问本地运行的CVRP POMO Solver页面，活跃度较低，可能在查看结果或等待。
00:00:17,00:01:59,开发,继续在Cursor编辑器中编写或调试PK_Solver.py文件，处理CVRP问题。
00:01:59,00:05:09,AI,使用ChatGPT获取代码优化建议
00:05:09,00:05:59,开发,在Cursor中运行run_app.py脚本
00:05:59,00:06:34,开发,在Microsoft Edge中查看CVRP POMO Solver相关页面
00:06:34,00:10:18,开发,在Cursor中编辑PK_Solver.py脚本
00:10:18,00:12:44,开发,在Windows Terminal中查看PK_Solver日志
00:12:44,00:14:40,开发,CVRP POMO Solver 和另外 11 个页面 - 个人 - Microsoft Edge (查阅技术文档)
00:14:40,00:16:31,AI,AI 时间追踪仪表盘 和另外 9 个页面 - 个人 - Microsoft Edge (使用 AI 工具)
00:16:31,00:17:13,系统,F:\桌面资料\代办\人工智能作业\大作业\CVRP 和 1 个其他选项卡 - 文件资源管理器 (文件资源管理器操作)
00:17:13,00:19:13,AI,代码优化建议 - Google Chrome (使用 ChatGPT 进行代码优化)
00:19:13,00:22:05,开发,*基于人工智能技术的CVRP问题求解模型的框架设计与评估 - Notepad (编写或查阅技术文档)
00:22:05,00:23:10,知识库,使用 Obsidian 整理知识 (CODE_GUIDE - Ob仓库 - Obsidian v1.10.6)
00:23:10,00:24:35,开发,编写代码 (train.py - CVRP - Cursor [Administrator])
00:24:35,00:26:55,学习,阅读文档 (基于人工智能技术的CVRP问题求解模型的框架设计与评估 - Notepad)
00:26:55,00:28:50,AI,与ChatGPT交流 (代码优化建议 - Google Chrome)
00:28:50,00:34:47,学习,继续阅读文档 (基于人工智能技术的CVRP问题求解模型的框架设计与评估 - Notepad)
00:34:47,00:35:58,娱乐,听音乐 - 風を食む - ヨルシカ
00:35:58,00:42:51,开发,编写代码 - train.py - CVRP - Cursor [Administrator]
00:42:51,00:43:37,娱乐,听音乐 - エイミー - ヨルシカ
00:43:37,00:45:07,开发,编写代码 - train.py - CVRP - Cursor [Administrator]
00:45:07,00:47:17,娱乐,听音乐 - へび - ヨルシカ
00:47:17,00:48:15,开发,编写代码 (train.py - CVRP - Cursor)
00:48:15,01:02:11,娱乐,听音乐 (逃亡 - ヨルシカ)
01:02:11,01:09:01,开发,使用本地Streamlit应用 (Streamlit 和另外 10 个页面 - 个人 - Microsoft Edge)
01:09:01,01:09:48,开发,编写代码 (PK_Solver.py - CVRP - Cursor)
01:09:48,01:16:11,系统,使用任务管理器
01:16:11,01:54:04,开发,使用Edge浏览器访问localhost:8501查看CVRP POMO Solver相关页面，同时打开其他10个页面。
01:54:04,01:54:58,开发,在PyCharm中打开并查看CVRP – PK_Solver.py文件。
01:54:58,01:56:37,开发,在Cursor中编辑PK_Solver.py文件，处理CVRP问题。
01:56:37,01:57:39,知识库,在Obsidian中查看Gemini Enterprise相关的知识库内容。
01:57:39,02:01:24,开发,继续在Cursor中编辑PK_Solver.py文件，处理CVRP问题。
02:01:24,02:03:07,AI,使用ChatGPT讨论CVRP解法与优化策略
02:03:07,02:03:40,AI,使用ChatGPT获取代码优化建议
02:03:40,02:05:03,AI,使用ChatGPT继续讨论CVRP解法与优化策略
02:05:03,02:09:09,AI,使用ChatGPT深入讨论代码优化建议
02:09:09,02:12:08,开发,编写和调试PK_Solver.py - CVRP问题求解器
02:12:08,02:14:04,开发,CVRP POMO Solver 和另外 10 个页面 - 个人 - Microsoft Edge (查阅技术文档)
02:14:04,02:15:28,开发,local_search.py - CVRP - Cursor [Administrator] (编写代码)
02:15:28,02:17:38,系统,F:\桌面资料\代办\人工智能作业\大作业\CVRP 和 1 个其他选项卡 - 文件资源管理器 (文件资源管理器操作)
02:17:38,02:23:08,AI,CVRP解法与优化策略 - Google Chrome (使用ChatGPT)
02:23:08,02:25:24,开发,PK_Solver.py - CVRP - Cursor [Administrator] (编写代码)
02:25:24,02:26:52,开发,使用管理员权限在终端操作 PK_Solver Logs
02:26:52,02:27:27,开发,在本地运行 CVRP POMO Solver 页面，查看和调试代码
02:27:27,02:31:57,开发,在 PyCharm 中编写和调试 CVRP 相关的代码
02:31:57,02:32:55,系统,浏览文件资源管理器中的 CVRP 相关文件
02:32:55,02:33:58,开发,继续在本地运行 CVRP POMO Solver 页面，查看和调试代码
02:33:58,02:36:11,开发,编写代码：train.py - CVRP - Cursor [Administrator]
02:36:11,02:39:31,AI,使用ChatGPT讨论CVRP解法与优化策略
02:39:31,02:45:45,开发,编写代码：PK_Solver.py - CVRP - Cursor [Administrator]
02:45:45,02:49:02,AI,使用Cursor平台进行AI相关操作
02:49:02,02:50:45,开发,编写代码：PK_Solver.py - CVRP - Cursor [Administrator]
02:50:45,02:55:48,AI,使用ChatGPT获取代码优化建议
02:55:48,03:02:04,开发,在Cursor中编写或调试CVRP相关代码
